source_id	source_spec	bundle_uuid	bundle_version	file_document_id	file_type	file_name	file_format	read_index	file_size	file_uuid	file_version	file_crc32c	file_sha256	file_content_type	file_drs_uri	file_url	cell_suspension.provenance.document_id	cell_suspension.biomaterial_core.biomaterial_id	cell_suspension.estimated_cell_count	cell_suspension.selected_cell_type	sequencing_process.provenance.document_id	sequencing_protocol.instrument_manufacturer_model	sequencing_protocol.paired_end	library_preparation_protocol.library_construction_approach	library_preparation_protocol.nucleic_acid_source	project.provenance.document_id	project.contributors.institution	project.contributors.laboratory	project.project_core.project_short_name	project.project_core.project_title	project.estimated_cell_count	specimen_from_organism.provenance.document_id	specimen_from_organism.diseases	specimen_from_organism.organ	specimen_from_organism.organ_part	specimen_from_organism.preservation_storage.preservation_method	donor_organism.sex	donor_organism.biomaterial_core.biomaterial_id	donor_organism.provenance.document_id	donor_organism.genus_species	donor_organism.development_stage	donor_organism.diseases	donor_organism.organism_age	cell_line.provenance.document_id	cell_line.biomaterial_core.biomaterial_id	organoid.provenance.document_id	organoid.biomaterial_core.biomaterial_id	organoid.model_organ	organoid.model_organ_part	_entity_type	sample.provenance.document_id	sample.biomaterial_core.biomaterial_id	sequencing_input.provenance.document_id	sequencing_input.biomaterial_core.biomaterial_id	sequencing_input_type
8bc2358b-3246-4094-8062-57c46221240b	tdr:datarepo-9586eb0b:snapshot/hca_prod_68df3629d2d24eedb0aba10e0f019b88__20220117_dcp2_20230314_dcp25:/0	b979b2da-f3f5-4679-9573-62451b747539	2021-11-05T22:12:46.472000Z	011a8fa9-b796-4676-b97f-5684a7ab4f64	sequence_file	SRR14041350_R1.fastq.gz	fastq.gz	read1	6419361868	0842424d-9f13-4047-9130-9f01f2f3d793	2021-11-05T22:12:46.099000Z	d8b97067	9f4bacd40d03a8f3b6904967b993ad870ccafff88889fa8f42557e104291f0f4	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_8bc2358b-3246-4094-8062-57c46221240b_759ad910-c00c-4980-a5d7-3223f8fd76ac	https://service.azul.data.humancellatlas.org/repository/files/0842424d-9f13-4047-9130-9f01f2f3d793?catalog=dcp25&version=2021-11-05T22%3A12%3A46.099000Z	6f2b950d-ecad-463d-a9f3-9d120cda15da	SRX10417586		bone cell	b979b2da-f3f5-4679-9573-62451b747539	Illumina NovaSeq 6000	False	10x 3' v3	single cell	68df3629-d2d2-4eed-b0ab-a10e0f019b88	Central South University || University of California, Santa Cruz	Center for System Biology, Data Sciences, and Reproductive Health, School of Basic Medical Science || Human Cell Atlas Data Coordination Platform	femoralHeadScRnaSeq	Single-cell RNA sequencing of human femoral head in vivo	26574	58410dc9-be50-43ec-8325-002f0738f271	osteoarthritis || osteoporosis	bone tissue	head of femur		male	donor_4	39d320fe-1763-4493-b58a-42b6ef23c7bb	Homo sapiens	human adult stage	osteoarthritis || osteoporosis	31.0 year							specimens	58410dc9-be50-43ec-8325-002f0738f271	SAMN18437367	6f2b950d-ecad-463d-a9f3-9d120cda15da	SRX10417586	cell_suspension
8bc2358b-3246-4094-8062-57c46221240b	tdr:datarepo-9586eb0b:snapshot/hca_prod_68df3629d2d24eedb0aba10e0f019b88__20220117_dcp2_20230314_dcp25:/0	fd80b74e-ea63-452b-adde-6a4b45fd8c53	2021-11-05T22:12:46.452000Z	048eba9c-cd12-4f94-a604-6795845cbc89	sequence_file	SRR14041337_R2.fastq.gz	fastq.gz	read2	4985573640	68b4fdfe-bef1-421e-b86f-9774d998ce2f	2021-11-05T22:12:45.760000Z	ed6f5397	149c7ad86150892c620d496042f1b85c761c15da68d908899b2ab9845c6b18c8	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_8bc2358b-3246-4094-8062-57c46221240b_b82ffc54-6ed2-4b73-a5a5-90b9045b96e7	https://service.azul.data.humancellatlas.org/repository/files/68b4fdfe-bef1-421e-b86f-9774d998ce2f?catalog=dcp25&version=2021-11-05T22%3A12%3A45.760000Z	61e4e433-7d20-4c00-bfcf-a5ffc7b3f86b	SRX10417584		bone cell	fd80b74e-ea63-452b-adde-6a4b45fd8c53	Illumina NovaSeq 6000	False	10x 3' v3	single cell	68df3629-d2d2-4eed-b0ab-a10e0f019b88	Central South University || University of California, Santa Cruz	Center for System Biology, Data Sciences, and Reproductive Health, School of Basic Medical Science || Human Cell Atlas Data Coordination Platform	femoralHeadScRnaSeq	Single-cell RNA sequencing of human femoral head in vivo	26574	3a5651f9-43b1-44a5-925a-5fbe17f38c15	osteoarthritis || osteoporosis	bone tissue	head of femur		female	donor_2	bd964944-22e3-4004-a980-555cabe4135e	Homo sapiens	human adult stage	osteoarthritis || osteoporosis	45.0 year							specimens	3a5651f9-43b1-44a5-925a-5fbe17f38c15	SAMN18437369	61e4e433-7d20-4c00-bfcf-a5ffc7b3f86b	SRX10417584	cell_suspension
8bc2358b-3246-4094-8062-57c46221240b	tdr:datarepo-9586eb0b:snapshot/hca_prod_68df3629d2d24eedb0aba10e0f019b88__20220117_dcp2_20230314_dcp25:/0	fd80b74e-ea63-452b-adde-6a4b45fd8c53	2021-11-05T22:12:46.452000Z	05680fa2-1914-4f1e-99ba-bdde041d913d	sequence_file	SRR14041343_R2.fastq.gz	fastq.gz	read2	4069143752	a23c3e04-0d26-42c1-916c-0244ca143213	2021-11-05T22:12:45.913000Z	853f68f8	dbb6e9936c2258dad61d46d3180c1e5d2c0851e9dea826148a3fb197e9a15d7b	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_8bc2358b-3246-4094-8062-57c46221240b_141cd6d1-7d5e-4d6e-b3b4-755eda275a6a	https://service.azul.data.humancellatlas.org/repository/files/a23c3e04-0d26-42c1-916c-0244ca143213?catalog=dcp25&version=2021-11-05T22%3A12%3A45.913000Z	61e4e433-7d20-4c00-bfcf-a5ffc7b3f86b	SRX10417584		bone cell	fd80b74e-ea63-452b-adde-6a4b45fd8c53	Illumina NovaSeq 6000	False	10x 3' v3	single cell	68df3629-d2d2-4eed-b0ab-a10e0f019b88	Central South University || University of California, Santa Cruz	Center for System Biology, Data Sciences, and Reproductive Health, School of Basic Medical Science || Human Cell Atlas Data Coordination Platform	femoralHeadScRnaSeq	Single-cell RNA sequencing of human femoral head in vivo	26574	3a5651f9-43b1-44a5-925a-5fbe17f38c15	osteoarthritis || osteoporosis	bone tissue	head of femur		female	donor_2	bd964944-22e3-4004-a980-555cabe4135e	Homo sapiens	human adult stage	osteoarthritis || osteoporosis	45.0 year							specimens	3a5651f9-43b1-44a5-925a-5fbe17f38c15	SAMN18437369	61e4e433-7d20-4c00-bfcf-a5ffc7b3f86b	SRX10417584	cell_suspension
8bc2358b-3246-4094-8062-57c46221240b	tdr:datarepo-9586eb0b:snapshot/hca_prod_68df3629d2d24eedb0aba10e0f019b88__20220117_dcp2_20230314_dcp25:/0	b979b2da-f3f5-4679-9573-62451b747539	2021-11-05T22:12:46.472000Z	05758841-f261-4c7f-a8c1-b8929c662641	sequence_file	SRR14041350_R2.fastq.gz	fastq.gz	read2	4797356630	545fb639-4a9f-4355-90bf-1697756e6796	2021-11-05T22:12:46.113000Z	6b6ff337	69ab8855d192f16e14918fa9bf1533b9e9dc3aaa7f3d5930f2b7bed68175b33c	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_8bc2358b-3246-4094-8062-57c46221240b_71738460-895a-48bc-a21f-bd6fc26ecd3d	https://service.azul.data.humancellatlas.org/repository/files/545fb639-4a9f-4355-90bf-1697756e6796?catalog=dcp25&version=2021-11-05T22%3A12%3A46.113000Z	6f2b950d-ecad-463d-a9f3-9d120cda15da	SRX10417586		bone cell	b979b2da-f3f5-4679-9573-62451b747539	Illumina NovaSeq 6000	False	10x 3' v3	single cell	68df3629-d2d2-4eed-b0ab-a10e0f019b88	Central South University || University of California, Santa Cruz	Center for System Biology, Data Sciences, and Reproductive Health, School of Basic Medical Science || Human Cell Atlas Data Coordination Platform	femoralHeadScRnaSeq	Single-cell RNA sequencing of human femoral head in vivo	26574	58410dc9-be50-43ec-8325-002f0738f271	osteoarthritis || osteoporosis	bone tissue	head of femur		male	donor_4	39d320fe-1763-4493-b58a-42b6ef23c7bb	Homo sapiens	human adult stage	osteoarthritis || osteoporosis	31.0 year							specimens	58410dc9-be50-43ec-8325-002f0738f271	SAMN18437367	6f2b950d-ecad-463d-a9f3-9d120cda15da	SRX10417586	cell_suspension
8bc2358b-3246-4094-8062-57c46221240b	tdr:datarepo-9586eb0b:snapshot/hca_prod_68df3629d2d24eedb0aba10e0f019b88__20220117_dcp2_20230314_dcp25:/0	fd80b74e-ea63-452b-adde-6a4b45fd8c53	2021-11-05T22:12:46.452000Z	092dc332-3f9d-44b0-b087-c1a400be5252	sequence_file	SRR14041333_R1.fastq.gz	fastq.gz	read1	5203695950	ae41d94b-4ec2-461c-b6d3-55cc52bb1483	2021-11-05T22:12:45.642000Z	ed05b678	c31d8c2c6be408368a777e92da01337ee83fb1b9f692c37d24127f67495f235d	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_8bc2358b-3246-4094-8062-57c46221240b_c45dd0cc-aa88-4abb-975f-c3ad2b756792	https://service.azul.data.humancellatlas.org/repository/files/ae41d94b-4ec2-461c-b6d3-55cc52bb1483?catalog=dcp25&version=2021-11-05T22%3A12%3A45.642000Z	61e4e433-7d20-4c00-bfcf-a5ffc7b3f86b	SRX10417584		bone cell	fd80b74e-ea63-452b-adde-6a4b45fd8c53	Illumina NovaSeq 6000	False	10x 3' v3	single cell	68df3629-d2d2-4eed-b0ab-a10e0f019b88	Central South University || University of California, Santa Cruz	Center for System Biology, Data Sciences, and Reproductive Health, School of Basic Medical Science || Human Cell Atlas Data Coordination Platform	femoralHeadScRnaSeq	Single-cell RNA sequencing of human femoral head in vivo	26574	3a5651f9-43b1-44a5-925a-5fbe17f38c15	osteoarthritis || osteoporosis	bone tissue	head of femur		female	donor_2	bd964944-22e3-4004-a980-555cabe4135e	Homo sapiens	human adult stage	osteoarthritis || osteoporosis	45.0 year							specimens	3a5651f9-43b1-44a5-925a-5fbe17f38c15	SAMN18437369	61e4e433-7d20-4c00-bfcf-a5ffc7b3f86b	SRX10417584	cell_suspension
8bc2358b-3246-4094-8062-57c46221240b	tdr:datarepo-9586eb0b:snapshot/hca_prod_68df3629d2d24eedb0aba10e0f019b88__20220117_dcp2_20230314_dcp25:/0	b979b2da-f3f5-4679-9573-62451b747539	2021-11-05T22:12:46.472000Z	12d7507f-7e4f-430f-96dd-7fb31ab7b8f5	sequence_file	SRR14041352_R1.fastq.gz	fastq.gz	read1	13120436493	fe3cb9e6-415d-4717-8725-7e525d7f2fb6	2021-11-05T22:12:46.200000Z	fe4946b5	cc2049a738c222853b74c9c6da5ef170069210fab04dd46d5d149296871d013d	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_8bc2358b-3246-4094-8062-57c46221240b_caa0eb81-f21f-4ccd-9f7d-b38fcbfc4847	https://service.azul.data.humancellatlas.org/repository/files/fe3cb9e6-415d-4717-8725-7e525d7f2fb6?catalog=dcp25&version=2021-11-05T22%3A12%3A46.200000Z	6f2b950d-ecad-463d-a9f3-9d120cda15da	SRX10417586		bone cell	b979b2da-f3f5-4679-9573-62451b747539	Illumina NovaSeq 6000	False	10x 3' v3	single cell	68df3629-d2d2-4eed-b0ab-a10e0f019b88	Central South University || University of California, Santa Cruz	Center for System Biology, Data Sciences, and Reproductive Health, School of Basic Medical Science || Human Cell Atlas Data Coordination Platform	femoralHeadScRnaSeq	Single-cell RNA sequencing of human femoral head in vivo	26574	58410dc9-be50-43ec-8325-002f0738f271	osteoarthritis || osteoporosis	bone tissue	head of femur		male	donor_4	39d320fe-1763-4493-b58a-42b6ef23c7bb	Homo sapiens	human adult stage	osteoarthritis || osteoporosis	31.0 year							specimens	58410dc9-be50-43ec-8325-002f0738f271	SAMN18437367	6f2b950d-ecad-463d-a9f3-9d120cda15da	SRX10417586	cell_suspension
8bc2358b-3246-4094-8062-57c46221240b	tdr:datarepo-9586eb0b:snapshot/hca_prod_68df3629d2d24eedb0aba10e0f019b88__20220117_dcp2_20230314_dcp25:/0	fd80b74e-ea63-452b-adde-6a4b45fd8c53	2021-11-05T22:12:46.452000Z	13a1e889-5370-4e89-9d5f-706c260b731c	sequence_file	SRR14041338_R2.fastq.gz	fastq.gz	read2	5332203740	10fd69f3-3bbc-4cd7-8473-bd283e27cabc	2021-11-05T22:12:45.786000Z	9d1771e1	9fcd04a3c5646058f41fd6f8ab17ce4300e8cce05fa3bc1cf0254726dc1dc08d	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_8bc2358b-3246-4094-8062-57c46221240b_5af67359-2f6c-4515-b24b-d0f1bd71f964	https://service.azul.data.humancellatlas.org/repository/files/10fd69f3-3bbc-4cd7-8473-bd283e27cabc?catalog=dcp25&version=2021-11-05T22%3A12%3A45.786000Z	61e4e433-7d20-4c00-bfcf-a5ffc7b3f86b	SRX10417584		bone cell	fd80b74e-ea63-452b-adde-6a4b45fd8c53	Illumina NovaSeq 6000	False	10x 3' v3	single cell	68df3629-d2d2-4eed-b0ab-a10e0f019b88	Central South University || University of California, Santa Cruz	Center for System Biology, Data Sciences, and Reproductive Health, School of Basic Medical Science || Human Cell Atlas Data Coordination Platform	femoralHeadScRnaSeq	Single-cell RNA sequencing of human femoral head in vivo	26574	3a5651f9-43b1-44a5-925a-5fbe17f38c15	osteoarthritis || osteoporosis	bone tissue	head of femur		female	donor_2	bd964944-22e3-4004-a980-555cabe4135e	Homo sapiens	human adult stage	osteoarthritis || osteoporosis	45.0 year							specimens	3a5651f9-43b1-44a5-925a-5fbe17f38c15	SAMN18437369	61e4e433-7d20-4c00-bfcf-a5ffc7b3f86b	SRX10417584	cell_suspension
8bc2358b-3246-4094-8062-57c46221240b	tdr:datarepo-9586eb0b:snapshot/hca_prod_68df3629d2d24eedb0aba10e0f019b88__20220117_dcp2_20230314_dcp25:/0	5235564d-f78d-4ee8-9416-6b2b0d875933	2021-11-05T22:12:46.439000Z	13f03951-ca64-46aa-865e-d0de2779eefd	sequence_file	SRR14041331_R1.fastq.gz	fastq.gz	read1	9395388276	b4c66b50-ffbc-4cb5-8adc-79d1080456ae	2021-11-05T22:12:45.590000Z	ae553253	5f6e019764978a5f376c1da68c0d206cdf7969235090f650849cb598dc3b12d4	binary/octet-stream; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_8bc2358b-3246-4094-8062-57c46221240b_0df791b0-f8cd-434d-b40d-73dc4b796ae1	https://service.azul.data.humancellatlas.org/repository/files/b4c66b50-ffbc-4cb5-8adc-79d1080456ae?catalog=dcp25&version=2021-11-05T22%3A12%3A45.590000Z	a3e5a8d6-0694-4ce8-a0d6-7c4b261d1867	SRX10417583		bone cell	5235564d-f78d-4ee8-9416-6b2b0d875933	Illumina NovaSeq 6000	False	10x 3' v3	single cell	68df3629-d2d2-4eed-b0ab-a10e0f019b88	Central South University || University of California, Santa Cruz	Center for System Biology, Data Sciences, and Reproductive Health, School of Basic Medical Science || Human Cell Atlas Data Coordination Platform	femoralHeadScRnaSeq	Single-cell RNA sequencing of human femoral head in vivo	26574	643494fc-ce22-41c7-b298-7925d6f4cb64	osteoarthritis || osteoporosis	bone tissue	head of femur		female	donor_1	4c7713a7-359f-4882-a034-2ff375742d94	Homo sapiens	human adult stage	osteoarthritis || osteoporosis	61.0 year							specimens	643494fc-ce22-41c7-b298-7925d6f4cb64	SAMN18437370	a3e5a8d6-0694-4ce8-a0d6-7c4b261d1867	SRX10417583	cell_suspension
8bc2358b-3246-4094-8062-57c46221240b	tdr:datarepo-9586eb0b:snapshot/hca_prod_68df3629d2d24eedb0aba10e0f019b88__20220117_dcp2_20230314_dcp25:/0	ad492444-a42c-4d5d-ab39-9637b5532211	2021-11-05T22:12:46.483000Z	141cf1cc-674a-4fbf-a672-55aee9921860	analysis_file	GSE169396_RAW.tar	tar		16720863	e7372ce7-c090-4ca9-a309-994b31364d2d	2021-11-05T22:12:46.347000Z	34ca54cd	e1c97e809eafc1707f4ef0babe2e370a3fa5f885d7953e5bd8fdf969d3a8af70	application/x-tar; dcp-type=data; dcp-type=data	drs://data.terra.bio/v1_8bc2358b-3246-4094-8062-57c46221240b_20dcad52-08c8-4df5-a010-de27dbb54439	https://service.azul.data.humancellatlas.org/repository/files/e7372ce7-c090-4ca9-a309-994b31364d2d?catalog=dcp25&version=2021-11-05T22%3A12%3A46.347000Z	1923279f-9846-4db2-b88c-e913c211859f || 61e4e433-7d20-4c00-bfcf-a5ffc7b3f86b || 6f2b950d-ecad-463d-a9f3-9d120cda15da || a3e5a8d6-0694-4ce8-a0d6-7c4b261d1867	SRX10417583 || SRX10417584 || SRX10417585 || SRX10417586		bone cell	ad492444-a42c-4d5d-ab39-9637b5532211	Illumina NovaSeq 6000	False	10x 3' v3	single cell	68df3629-d2d2-4eed-b0ab-a10e0f019b88	Central South University || University of California, Santa Cruz	Center for System Biology, Data Sciences, and Reproductive Health, School of Basic Medical Science || Human Cell Atlas Data Coordination Platform	femoralHeadScRnaSeq	Single-cell RNA sequencing of human femoral head in vivo	26574	3a5651f9-43b1-44a5-925a-5fbe17f38c15 || 58410dc9-be50-43ec-8325-002f0738f271 || 643494fc-ce22-41c7-b298-7925d6f4cb64 || ee52b2b3-9eae-4313-8408-5e6bb84dd0cf	normal || osteoarthritis || osteoporosis	bone tissue	head of femur		female || male	donor_1 || donor_2 || donor_3 || donor_4	39d320fe-1763-4493-b58a-42b6ef23c7bb || 4c7713a7-359f-4882-a034-2ff375742d94 || 6262a36b-6366-409d-b448-39b54ffc0e48 || bd964944-22e3-4004-a980-555cabe4135e	Homo sapiens	human adult stage	normal || osteoarthritis || osteoporosis	31.0 year || 45.0 year || 61.0 year || 66.0 year							specimens	3a5651f9-43b1-44a5-925a-5fbe17f38c15 || 58410dc9-be50-43ec-8325-002f0738f271 || 643494fc-ce22-41c7-b298-7925d6f4cb64 || ee52b2b3-9eae-4313-8408-5e6bb84dd0cf	SAMN18437367 || SAMN18437368 || SAMN18437369 || SAMN18437370	1923279f-9846-4db2-b88c-e913c211859f || 61e4e433-7d20-4c00-bfcf-a5ffc7b3f86b || 6f2b950d-ecad-463d-a9f3-9d120cda15da || a3e5a8d6-0694-4ce8-a0d6-7c4b261d1867	SRX10417583 || SRX10417584 || SRX10417585 || SRX10417586	cell_suspension
8bc2358b-3246-4094-8062-57c46221240b	tdr:datarepo-9586eb0b:snapshot/hca_prod_68df3629d2d24eedb0aba10e0f019b88__20220117_dcp2_20230314_dcp25:/0	1c5ff62a-20d0-5b55-9892-44a1246d88c1	2022-09-15T22:00:14.992000Z	1c5ff62a-20d0-5b55-9892-44a1246d88c1	supplementary_file	femoralHeadScRnaSeq_metadata_15-09-2022.xlsx	xlsx		38428	abf91e21-94c2-5da2-b218-76695d0e49f7	2022-09-15T22:00:14.992000Z	3dc7ea21	3961d882cd15d480052f0210ff994dadaa22b5b83a74b1388f00153939c75176	xlsx; dcp-type=data	drs://data.terra.bio/v1_8bc2358b-3246-4094-8062-57c46221240b_22b8e794-13d5-4610-9cae-ff29dee4bdfd	https://service.azul.data.humancellatlas.org/repository/files/abf91e21-94c2-5da2-b218-76695d0e49f7?catalog=dcp25&version=2022-09-15T22%3A00%3A14.992000Z										68df3629-d2d2-4eed-b0ab-a10e0f019b88	Central South University || University of California, Santa Cruz	Center for System Biology, Data Sciences, and Reproductive Health, School of Basic Medical Science || Human Cell Atlas Data Coordination Platform	femoralHeadScRnaSeq	Single-cell RNA sequencing of human femoral head in vivo	26574																								
